date,equity
2025-06-25,524017470.0
2025-06-26,523193896.0
2025-06-27,523838279.0
2025-06-30,524544000.0
2025-07-01,524785221.0
2025-07-02,525615533.0
2025-07-03,525938881.0
2025-07-04,528081222.0
2025-07-07,530520862.0
2025-07-08,534810862.0
2025-07-09,537641773.0
2025-07-10,543749097.0
2025-07-11,545817149.0
2025-07-14,553585318.0
2025-07-15,549264982.0
2025-07-16,556498214.0
2025-07-17,565323740.0
2025-07-18,569871480.0
2025-07-21,565559865.0
2025-07-22,567327611.0
2025-07-23,568476021.0
2025-07-24,572980027.0
2025-07-25,575996372.0
2025-07-28,583966370.0
2025-07-29,578570009.0
2025-07-30,578858328.0
2025-07-31,573713000.0
2025-08-01,568916456.0
2025-08-04,578240299.0
2025-08-05,584178842.0
2025-08-06,590905054.0
2025-08-07,589665970.0
2025-08-08,590204381.0
2025-08-11,597702528.0
2025-08-12,597122384.0
2025-08-13,599060441.0
2025-08-14,603256231.0
2025-08-15,596923161.0
2025-08-18,594015212.0
2025-08-19,595642866.0
2025-08-20,591403586.0
2025-08-21,596953505.0
2025-08-22,589304006.0
2025-08-25,575928697.0
2025-08-26,590919659.0
2025-08-27,594278361.0
2025-08-28,591236182.0
2025-08-29,595140790.0
2025-09-03,600800777.0
2025-09-04,601382319.0
2025-09-05,593214653.0
2025-09-08,580406335.0
2025-09-09,581997405.0
2025-09-10,581354436.0
2025-09-11,584419562.0
2025-09-12,586569058.0
2025-09-15,589157878.0
2025-09-16,586900238.0
2025-09-17,585027503.0
2025-09-18,587470050.0
2025-09-19,587911820.0
2025-09-22,580165949.0
2025-09-23,583002222.0
2025-09-24,588565546.0
2025-09-25,590840546.0
2025-09-26,587469352.0
2025-09-29,586344352.0
2025-09-30,587654352.0
2025-10-01,593259977.0
2025-10-02,588279316.0
2025-10-03,582884421.0
2025-10-06,591296046.0
2025-10-07,589251046.0
2025-10-08,595981046.0
2025-10-09,599628533.0
2025-10-10,605249621.0
2025-10-13,609114104.0
2025-10-14,606372198.0
2025-10-15,606109673.0
2025-10-16,605983479.0
2025-10-17,602472062.0
2025-10-20,592765813.0
2025-10-21,593292138.0
2025-10-22,592566995.0
2025-10-23,596864679.0
2025-10-24,597033489.0
2025-10-27,583456258.0
2025-10-28,592927131.0
2025-10-29,591828671.0
2025-10-30,587441888.0
2025-10-31,575344043.0
2025-11-03,569176695.0
2025-11-04,566215840.0
2025-11-05,565825840.0
2025-11-06,564745840.0
2025-11-07,563875840.0
2025-11-10,563425840.0
2025-11-11,562945840.0
2025-11-12,563305840.0
2025-11-13,563365840.0
2025-11-14,563742233.0
2025-11-17,563928750.0
2025-11-18,561441813.0
2025-11-19,560092652.0
2025-11-20,565181992.0
2025-11-21,565003454.0
2025-11-24,574000755.0
2025-11-25,573212010.0
2025-11-26,576496297.0
2025-11-27,574615332.0
2025-11-28,580280928.0
2025-12-01,580070931.0
2025-12-02,584991081.0
2025-12-03,581326791.0
2025-12-04,579185185.0
2025-12-05,578045185.0
2025-12-08,578173756.0
2025-12-09,571544191.0
2025-12-10,567118366.0
2025-12-11,566064373.0
2025-12-12,561898113.0
2025-12-15,563919180.0
2025-12-16,568735834.0
2025-12-17,564436965.0
2025-12-18,565820019.0
2025-12-19,567454749.0
2025-12-22,570371695.0
2025-12-23,574288191.0
2025-12-24,575100880.0
2025-12-25,571582479.0
2025-12-26,573711873.0
2025-12-29,574682916.0
2025-12-30,577708503.0
2025-12-31,580364219.0
2026-01-05,575994523.0
2026-01-06,577545817.0
2026-01-07,582674567.0
2026-01-08,583166991.0
2026-01-09,580178391.0
2026-01-12,578618391.0
2026-01-13,580417308.0
2026-01-14,582935508.0
2026-01-15,592001262.0
2026-01-16,586706972.0
2026-01-19,587015534.0
2026-01-20,588210534.0
2026-01-21,588275534.0
2026-01-22,588675534.0
2026-01-23,583290376.0
2026-01-26,579810302.0
2026-01-27,586375802.0
2026-01-28,582365802.0
2026-01-29,582916003.0
2026-01-30,585315003.0
2026-02-02,589005003.0
2026-02-03,589500003.0
2026-02-04,585700003.0
2026-02-05,576300003.0
2026-02-06,573355003.0
2026-02-09,573305003.0
2026-02-10,556539817.0
2026-02-11,555195545.0
2026-02-12,551911037.0
2026-02-13,552576037.0
2026-02-23,552156037.0
2026-02-24,552784537.0
2026-02-25,557672937.0
2026-02-26,555797937.0
2026-02-27,551927937.0
2026-03-02,544082675.0
2026-03-03,541456497.0
2026-03-04,531571419.0
2026-03-05,520001556.0
2026-03-06,512009103.0
2026-03-09,507827218.0
2026-03-10,506300671.0
2026-03-11,507980671.0
2026-03-12,507580671.0
2026-03-13,507420671.0
2026-03-16,507460671.0
2026-03-17,508060671.0
2026-03-18,507980671.0
2026-03-19,507580671.0
2026-03-20,504300426.0
2026-03-23,504300426.0
2026-03-24,504300426.0
2026-03-25,509937426.0
2026-03-26,504657426.0
2026-03-27,507657426.0
2026-03-30,508257426.0
2026-03-31,505857426.0
2026-04-01,507417426.0
2026-04-02,505857426.0
2026-04-03,508857426.0
2026-04-06,504935826.0
2026-04-07,504495826.0
2026-04-08,514415826.0
2026-04-09,514391451.0
2026-04-10,510421451.0
2026-04-13,512001451.0
2026-04-14,514561451.0
2026-04-15,519136838.0
2026-04-16,522006838.0
2026-04-17,518432088.0
